ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	wherearethechildren	It will be nearly futile to educate the boys and leave the girls uneducated Dominion of Canada Annual Report of the Department of Indian Affairs for the Year 	AGAINST	It will be nearly futile to educate the boys and leave the girls uneducated.”  Dominion of Canada. Annual Report of the Department of Indian Affairs for the  Year ...	20	0_google_1
2	wherearethechildren	Healing the legacy of the residential schools Between 1831 and 1996 residential schools operated in Canada through arrangements between the Government 	AGAINST	Healing the legacy of the residential schools. Between 1831 and 1996,  residential schools operated in Canada through arrangements between the  Government ...	20	0_google_2
3	wherearethechildren	Where are the Children acknowledges that the era of silence is over Those who are Survivors of Indian residential school trauma will have painful 	AGAINST	Where are the Children? acknowledges that the era of silence is over. ... Those  who are Survivors of Indian residential school trauma will have painful ...	20	0_google_3
4	wherearethechildren	Are these children really missing What do those children have to do with the Trump administration_s new immigration enforcement policies 	AGAINST	Are these children really missing? What do those children have to do with the  Trump administration's new immigration enforcement policies?	20	0_google_4
5	wherearethechildren	Aug 1 2011 28 minThis is Where Are the Children Healing the Legacy of the Residential Schools Did you 	AGAINST	"Aug 1, 2011 - 28 minThis is ""Where Are the Children? Healing the Legacy of the Residential Schools ... Did you ..."	20	0_google_5
6	wherearethechildren	This exhibition the first in Canada to be developed on residential schools uses archival photographs and documents to tell the story of the System using a more 	AGAINST	This exhibition, the first in Canada to be developed on residential schools, uses  archival photographs and documents, to tell the story of the System using a more  ...	20	0_google_6
7	wherearethechildren	Drama Two children are kidnapped and held for ransom by a madman to suspect that their mother may possibly have had something to do with the crime 	AGAINST	Drama ... Two children are kidnapped and held for ransom by a madman. ... to  suspect that their mother may possibly have had something to do with the crime.	20	0_google_7
8	wherearethechildren	Sep 27 2003 Although the Indian Residential Shool System was designed to assimilate Aboriginal peoples against their will not only have we resisted we 	AGAINST	Sep 27, 2003 ... Although the Indian Residential Shool System was designed to assimilate  Aboriginal peoples against their will, not only have we resisted – we ...	20	0_google_8
9	wherearethechildren	2 days ago Office of Refugee Resettlement can_t verify whereabouts of 1 475 migrant Children are typically in ORR custody for an average of 56 days 	AGAINST	2 days ago ... Office of Refugee Resettlement can't verify whereabouts of 1,475 migrant ...  Children are typically in ORR custody for an average of 56 days ...	20	0_google_9
10	wherearethechildren	Apr 19 2013 97 min Uploaded by Sony Pictures Home Entertainment faith in the face of one of today_s most heinous crimes the kidnap of children 1985 Where 	AGAINST	Apr 19, 2013 - 97 min - Uploaded by Sony Pictures Home Entertainment... faith in the face of one of today's most heinous crimes-the kidnap of children. � 1985 Where ...	20	0_google_10
11	wherearethechildren	1 day ago Are these children really missing What do those children have to do with the Trump administration_s new immigration enforcement policies 	AGAINST	1 day ago ... Are these children really missing? What do those children have to do with the  Trump administration's new immigration enforcement policies?	20	0_google_11
