ID	Target	Tweet	Stance	Date	Origin
952691494900596736	tide;tidepodchallenge;stupidity;tidepods	Couldn_t agree more stupidity horriblecoaching firetomlin	FAVOR	2018-01-14 18:58:47	Couldn't agree more #stupidity #horriblecoaching #firetomlin
952691027193851910	tide;tidepodchallenge;stupidity;tidepods	100  correct MakeAmericaGreatAgain Unity against stupidity of detractors of our Trump years from now they will build statues and name schools       and a naval vessel after him that for sure he will be known as one the greatest President as Lincoln   Washington Fact	FAVOR	2018-01-14 18:56:55	#100% correct #MakeAmericaGreatAgain #Unity against #stupidity of detractors of our @POTUS Trump years from now they will build statues and name schools ......and a naval vessel after him that for sure he will be known as one the greatest President as Lincoln & Washington #Fact
952687323677851650	tide;tidepodchallenge;stupidity;tidepods	TidePodChallenge Quite possibly the single dumbest thing I have ever witnessed in my 46 years 	FAVOR	2018-01-14 18:42:12	#TidePodChallenge Quite possibly the single dumbest thing I have ever witnessed in my 46 years. pic.twitter.com/qajAo1fQAw
952683806628237312	tide;tidepodchallenge;stupidity;tidepods	Leaving myself a reminder for tomorrow TidePodChallenge 1	FAVOR	2018-01-14 18:28:14	Leaving myself a reminder for tomorrow #TidePodChallenge pic.twitter.com/IcyQU4KPx1
952683671617789952	tide;tidepodchallenge;stupidity;tidepods	Well    thats a new spin on the concept of cleaning the gene pool  What is wrong with people  TidePodChallenge	AGAINST	2018-01-14 18:27:41	Well....that’s a new spin on the concept of cleaning the gene pool. What is wrong with people? #TidePodChallenge
952683328724926464	tide;tidepodchallenge;stupidity;tidepods	causally asks if he was eating tidepods after the game last night	FAVOR	2018-01-14 18:26:20	@scottzolak causally asks @RobGronkowski if he was eating #tidepods after the game last night
952682449569566721	tide;tidepodchallenge;stupidity;tidepods	Just wait  Someone will sue P G for not having a warning label on the tidepods saying that it is not food 	FAVOR	2018-01-14 18:22:50	Just wait. Someone will sue P&G for not having a warning label on the #tidepods saying that it is not food. https://twitter.com/mnrothbard/status/952631948203188225 …
952681897322336257	tide;tidepodchallenge;stupidity;tidepods	I washed down a buncha Tide Pods w my preworkout today and crushed my workout  FitnessMotivation TidePods	AGAINST	2018-01-14 18:20:38	I washed down a buncha Tide Pods w my preworkout today and crushed my workout! #FitnessMotivation #TidePods
952681532086513664	tide;tidepodchallenge;stupidity;tidepods	REMINDER  THIS NOT FOR EATING  TidePodChallenge C	FAVOR	2018-01-14 18:19:11	REMINDER: THIS NOT FOR EATING. #TidePodChallenge pic.twitter.com/9ArigxfWJC
952681342021578752	tide;tidepodchallenge;stupidity;tidepods	I was in charge of appetizers tonight for dinner  TidePodChallenge had to be classy tidepod	AGAINST	2018-01-14 18:18:26	I was in charge of appetizers tonight for dinner. #TidePodChallenge had to be classy #tidepod pic.twitter.com/RC3jMgCvaq
