ID	Target	Tweet	Stance	Date	Origin
999050269726883840	sanctuarycities;illegalimmigration;trump	Oakland Mayor Who Saved 800 Illegals From ICE Raids Just Got Swift Justice From Trump SanctuaryCities Oakland	AGAINST	2018-05-22 18:12:00	Oakland Mayor Who Saved 800 Illegals From ICE Raids Just Got Swift Justice From Trump https://ilovemyfreedom.org/oakland-mayor-who-saved-800-illegals-from-ice-raids-just-got-swift-justice-from-trump/ … #SanctuaryCities #Oakland
999026380099682304	sanctuarycities;illegalimmigration;trump	DefundCBC CBC ISIS IllegalImmigration CandiceMalcolm cdnpoli Antifahttps   	AGAINST	2018-05-22 16:37:04	#DefundCBC #CBC #ISIS #IllegalImmigration #CandiceMalcolm #cdnpoli #Antifahttps://twitter.com/CandiceMalcolm/status/998989459914801153 …
998993058598477826	sanctuarycities;illegalimmigration;trump	bandieraitalia trovata bruciata a pochi metri ingresso centro accoglienza immigrati clandestini    Mah  a pensar male a volte ci     remigrazione centroaccoglienza coop IllegalImmigration	AGAINST	2018-05-22 14:24:40	#bandieraitalia trovata bruciata a pochi metri ingresso centro accoglienza immigrati clandestini... Mah, a pensar male a volte ci.... #remigrazione #centroaccoglienza #coop #IllegalImmigration pic.twitter.com/JXWZS0iC86
998820037128437760	sanctuarycities;illegalimmigration;trump	Retweeted Liberty Squared     Westminster TakeBackCalifornia SanctuaryState SanctuaryCities sb54 ad72	AGAINST	2018-05-22 02:57:08	Retweeted Liberty Squared (@Liberty_BTD):  #Westminster @TylerDiep #TakeBackCalifornia #SanctuaryState #SanctuaryCities #sb54 #ad72 pic.twitter.com/vk9yQUhcOn https://twitter.com/Liberty_BTD/status/996719191192424448/video/1?utm_source=fb&utm_medium=fb&utm_campaign=randrally&utm_content=998819989728591878 …
998379286255034373	sanctuarycities;illegalimmigration;trump	Immigration IllegalImmigration IllegalAliens IllegalImmigrants nra 1	AGAINST	2018-05-20 21:45:45	#Immigration #IllegalImmigration #IllegalAliens #IllegalImmigrants #nra #2ndAmendmentpic.twitter.com/yKPa7D0SG1
998360483055980544	sanctuarycities;illegalimmigration;trump	SIGN THIS PETITION TO MAKE E VERIFY MANDATORY  ALREADY HAS 7 000 SIGNATURES  MAGA TRUMP FoxNews Corruption WhiteHouse MS13 GOP Immigration E VERIFY IllegalImmigration MEXICO buildthewallnow BUILDTHEWALL JudgeJeanine	AGAINST	2018-05-20 20:31:02	SIGN THIS PETITION TO MAKE E-VERIFY MANDATORY! ALREADY HAS 7,000 SIGNATURES! #MAGA #TRUMP #FoxNews #Corruption #WhiteHouse #MS13 #GOP #Immigration #E-VERIFY #IllegalImmigration #MEXICO #buildthewallnow #BUILDTHEWALL #JudgeJeanine  https://petitions.whitehouse.gov/petition/president-trump-must-immediately-sign-executive-order-making-it-mandatory-all-us-businesses-use-e-verify …
998262196755836929	sanctuarycities;illegalimmigration;trump	NoDaca Please call Capitol Hill Switchboard at 202 224 3121 End IllegalImmigration Blockchain send IllegalAliens home  MAGA KAG POTUS QAnon QArmy SemperFi BuildThatWall	FAVOR	2018-05-20 14:00:29	#NoDaca Please call Capitol Hill Switchboard at 202-224-3121 End #IllegalImmigration #Blockchain send #IllegalAliens home. #MAGA @POTUS #KAG #POTUS #QAnon #QArmy #SemperFi #BuildThatWall #trumptrainpic.twitter.com/KpXCFJDttT
998257679020670976	sanctuarycities;illegalimmigration;trump	CoryBooker Moonbeam SaveCalifornia NO SanctuaryCities NO ChildSexTrafficking NO SatanicRitualAbuse NO Pedovore sNO NWO QAnon WWG1WGA c	AGAINST	2018-05-20 13:42:32	@NancyPelosi @chuckschumer @RepMaxineWaters @SenFeinstein @RepAdamSchiff #CoryBooker #Moonbeam @JerryBrownGov   #SaveCalifornia  @realDonaldTrump  NO #SanctuaryCities NO #ChildSexTrafficking NO #SatanicRitualAbuse NO #Pedovore sNO #NWO #QAnon #WWG1WGA #MAGApic.twitter.com/C5Ubt4dK3c
998068476509016066	sanctuarycities;illegalimmigration;trump	Use Money Spent On Illegals Who Cheat American Values   Laws   SanctuaryCities Spend It Making Our Schools Safe For The Children Of This Nation Now   End Daca Build The Wall And Prosecute Those Who Enter This Country Illegally Why Are Against Helping Our People 1	FAVOR	2018-05-20 01:10:42	Use Money Spent On #Illegals Who Cheat American Values & Laws & #SanctuaryCities Spend It Making Our Schools Safe For The Children Of This Nation Now!..End Daca Build The Wall And Prosecute Those Who Enter This Country Illegally.Why Are @TheDemocrats Against Helping Our People?pic.twitter.com/YTeJhqHqg1
997951135515201536	sanctuarycities;illegalimmigration;trump	cost IllegalImmigration per state	AGAINST	2018-05-19 17:24:26	#cost #IllegalImmigration per state https://twitter.com/TempusSpiritus/status/997864186121150464 …
