ID	Target	Tweet	Stance	Origin
1	sanctuarycities	SanctuaryCities Roundtable   `` These are n_t people  	AGAINST	SanctuaryCities Roundtable : `` These are n't people .
2	sanctuarycities	SanctuaryCities endtheviolence follow feminist ms13nbchttps     	AGAINST	SanctuaryCities endtheviolence follow feminist ms13nbchttps : //
3	sanctuarycities	SanctuaryCities Round table   `` These are n_t people  	AGAINST	SanctuaryCities Round table : `` These are n't people .
4	sanctuarycities	SanctuaryCities actually protect the 4A   10A of the U S  Constitution	AGAINST	SanctuaryCities actually protect the 4A & 10A of the U.S. Constitution
5	sanctuarycities	SanctuaryCities Roundtable   Trump said   `` These are n_t people  	AGAINST	SanctuaryCities Roundtable , Trump said : `` These are n't people .
6	racist trump	racist trump during California SanctuaryCities Round table   `` These are n_t people  	AGAINST	racist trump during California SanctuaryCities Round table : `` These are n't people .
7	trump	Trump during California SanctuaryCities Roundtable   `` These are n_t people  	AGAINST	Trump during California SanctuaryCities Roundtable : `` These are n't people .
8	trump	Trump during California SanctuaryCities Round table   `` These are n_t people  	AGAINST	Trump during California SanctuaryCities Round table : `` These are n't people .
9	trump	Trump mimics Hitler as he speaks to GOP California mayors   officials referring to immigrants   `` These are n_t people  	AGAINST	Trump mimics Hitler as he speaks to GOP California mayors & officials referring to immigrants : `` These are n't people .
10	trump	Trump is a hate filled racist   against people of color   against the poor   against women    	FAVOR	Trump is a hate filled racist - against people of color , against the poor , against women ...
11	trump	Trump   you are a disgusting disgrace According to C SPAN   During California SanctuaryCities Roundtable   Trump said   `` These are n_t people  	AGAINST	Trump , you are a disgusting disgrace.According to C-SPAN : During California SanctuaryCities Roundtable , Trump said : `` These are n't people .
