ID	Target	Tweet	Stance	Origin
1	tidepodchallenge	TidePodChallenge that is what you call natural selection  	FAVOR	TidePodChallenge that is what you call natural selection .
2	tidepodchallenge	TidePodChallenge   Teens are putting detergent pods in their mouth and posting videos online	AGAINST	TidePodChallenge : Teens are putting detergent pods in their mouth and posting videos online
3	tidepodchallenge	TidePodChallenge     when the hospital calls me I stg Ill be like yup youre on your own now I will not have a dumbass living under my roof  	AGAINST	TidePodChallenge ... when the hospital calls me I stg Ill be like yup youre on your own now I will not have a dumbass living under my roof .
4	tidepodchallenge	TidePodChallenge Im appalled   dont take away our	FAVOR	TidePodChallenge Im appalled , dont take away our
5	tidepodchallenge	TidePodChallenge I want to see at my house is my teenagers doing their own laundry  	FAVOR	TidePodChallenge I want to see at my house is my teenagers doing their own laundry .
6	tide	Tide Pods unless you _re Bortus  	NONE	Tide Pods unless you 're Bortus !
7	tide	Tide Pods are not only the greatest thing to happen to laundry since the electric washing machine   they also do n_t have any negative consequences from ingestion AND they make your poop smell as fresh as a spring morning  	AGAINST	Tide Pods are not only the greatest thing to happen to laundry since the electric washing machine , they also do n't have any negative consequences from ingestion AND they make your poop smell as fresh as a spring morning .
8	tide	Tide Pods   Please continue eating Tide Pods  	NONE	Tide Pods , Please continue eating Tide Pods .
9	tide	Tide Pod Challenge   __ as it _s called on social media   may seem like a joke   but ingesting these concentrated detergent packs can have deadly consequences  	NONE	Tide Pod Challenge , '' as it 's called on social media , may seem like a joke , but ingesting these concentrated detergent packs can have deadly consequences .
10	tide	tide pods was a thing this wolf drinks straight from the bottle      	AGAINST	tide pods was a thing this wolf drinks straight from the bottle ! ! !
11	tidepods	Tidepods seems like it would solve a good part of the problem  	NONE	Tidepods seems like it would solve a good part of the problem .
12	tidepods	tidepods is a thing     dont eat tide pods  	NONE	tidepods is a thing ... dont eat tide pods !
13	tidepods	tidepods and fully endorse the TidePodChallenge that is what you call natural selection  	FAVOR	tidepods and fully endorse the TidePodChallenge that is what you call natural selection .
14	tidepods	tidepods to officially say women are the superior sex  	NONE	tidepods to officially say women are the superior sex .
15	tidepods	tidepods meme is getting way out of hand  	NONE	tidepods meme is getting way out of hand .
16	tide pods	tide pods unless you _re Bortus  	AGAINST	tide pods unless you 're Bortus !
17	tide pods	tide pods are not only the greatest thing to happen to laundry since the electric washing machine   they also do n_t have any negative consequences from ingestion AND they make your poop smell as fresh as a spring morning  	AGAINST	tide pods are not only the greatest thing to happen to laundry since the electric washing machine , they also do n't have any negative consequences from ingestion AND they make your poop smell as fresh as a spring morning .
18	tide pods	tide pods   Please continue eating Tide tide pods	FAVOR	tide pods , Please continue eating Tide tide pods
19	tide pods	tide pods can also be used as single serving pre packaged salad dressing  	AGAINST	tide pods can also be used as single serving pre packaged salad dressing .
20	tide pods	tide pods was a thing this wolf drinks straight from the bottle      	AGAINST	tide pods was a thing this wolf drinks straight from the bottle ! ! !
21	tide pod	tide pod in her mouth   BUT TOLD ME A LOT OF KIDS ARE ACTUALLY DOING IT  	AGAINST	tide pod in her mouth ) BUT TOLD ME A LOT OF KIDS ARE ACTUALLY DOING IT .
22	tide pod	tide pod meme is great   and it _s probably going to end up forcing P   G to make tide pods safer  	NONE	tide pod meme is great , and it 's probably going to end up forcing P & G to make tide pods safer .
23	tide pod	tide pod you will die TidePodChallenge	AGAINST	tide pod you will die TidePodChallenge
24	tide pod	tide pod Challenge   __ as it _s called on social media   may seem like a joke   but ingesting these concentrated detergent packs can have deadly consequences  	NONE	tide pod Challenge , '' as it 's called on social media , may seem like a joke , but ingesting these concentrated detergent packs can have deadly consequences .
25	tide pod	tide pod eating thing  	NONE	tide pod eating thing .
