ID	Target	Tweet	Stance	Date
1	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
2	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
3	machines	Texas ask for paper ballot	NONE	2018-10-26 23:07:28
4	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
5	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
6	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
7	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
8	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
9	machines	Texas is in desperate need to hand marked paper ballots and optical scanners	NONE	2018-10-26 23:29:23
10	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
11	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
12	machines	WHO is behind programming Texas voting machines to change Beto votes to Cruz votes	AGAINST	2018-10-26 23:25:59
13	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
14	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
15	machines	programming voting machines to change Democratic votes to Republican Texas vote and paper ballots need to replace digital	AGAINST	2018-10-26 23:19:22
16	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
17	machines	TEXAS are multiple reports of machines	AGAINST	2018-10-26 23:17:57
18	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
19	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
20	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
21	machines	texas voting machines	NONE	2018-10-26 04:34:04
22	machines	Texas voting machine thing is real through looking glass shit and done with reality	AGAINST	2018-10-26 23:09:52
23	machines	Texas Voting Machine Glitch Switches Votes to Opposing Party	AGAINST	2018-10-26 23:09:17
24	machines	Texas ask for paper ballot	NONE	2018-10-26 23:07:28
25	machines	TEXAS VOTE VOTEBLUE BETO Texans say machines are flipping selections to other party	AGAINST	2018-10-26 23:07:04
26	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
27	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
28	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
29	machines	Texas voting machines are changing votes for Beto O'Rourke to Russian Operative	AGAINST	2018-10-26 22:56:31
30	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
31	machines	When comes to voting machines and registration Texas is messed on own	AGAINST	2018-10-26 22:53:33
32	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
33	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
34	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
35	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
36	machines	Texas voting machines	NONE	2018-10-26 00:47:02
37	machines	Texas voting machines are changing straight ticket votes and 2014 may have been last fair election	AGAINST	2018-10-26 22:47:12
38	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
39	machines	Texas Voting Machine Malfunction	AGAINST	2018-10-26 19:15:11
40	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
41	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
42	machines	Texas Voting Machine Malfunction	AGAINST	2018-10-26 19:15:11
43	machines	Texas Voting Machine Malfunction	AGAINST	2018-10-26 19:15:11
44	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
45	machines	Texas voting machines changing straight-party selections	AGAINST	2018-10-26 00:38:32
