ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	maga	Real World Witness w Chrissy Doug Thurs 10pET on MAGA ONE RADIO chat politics infused w Hollywood Shining a light on truth liberty eing the lies Joined December 2016 8 42 AM 13 Jan 2018 from Washington USA I can just see it in the NYT Moldy Mueller Doesn_t Bathe 1 reply 1 retweet 3 likes 	AGAINST	"Real World Witness w/Chrissy & Doug, Thurs 10pET, on MAGA ONE RADIO-  chat politics infused w/Hollywood Shining a light on truth, liberty & exposing the  lies! ... Joined December 2016 .... 8:42 AM - 13 Jan 2018 from Washington, USA  .... I can just see it in the NYT: ""Moldy Mueller Doesn't Bathe!"" 1 reply 1 retweet 3  likes."	5	0_google_1
2	maga	2h ago tweeted White House pulls out of summit with Nor read what others are saying and join the conversation 	AGAINST	"2h ago @gal_deplorable tweeted: ""White House pulls out of summit with Nor.."" -  read what others are saying and join the conversation."	5	0_google_2
3	maga	 arrest on Friday read what others are saying and join the conversation That is and that is why I voted for him TheStormIsHere 	AGAINST	"... arrest on Friday .."" - read what others are saying and join the conversation. ...  That is @realDonaldTrump and that is why I voted for him. #TheStormIsHere # ..."	5	0_google_3
4	maga	1 You can_t be Hitler and want to call Jerusalem the capital of Israel QAnon WWG1WGA GreatAwakenening redpill TheStorm TheStormIsHere WeThePeople FollowTheWhiteRabbit DrainTheSwamp Qanon Q 8chan thegreatawakening FollowTheWhiteRabbit maga realDonaldTrump 	FAVOR	1) You can't be Hitler and want to call Jerusalem the capital of Israel. ... #QAnon # WWG1WGA @POTUS #GreatAwakenening #redpill #TheStorm # TheStormIsHere #WeThePeople #FollowTheWhiteRabbit #DrainTheSwamp ... # Qanon #Q #8chan #thegreatawakening #FollowTheWhiteRabbit #maga @ realDonaldTrump.	5	0_google_4
5	maga		NONE		5	0_google_5
6	maga	May 14 2018 The US officially recognized Jerusalem as the capital of Israel on May 14 when a new US Embassy opened there It will be housed temporarily in the former consulate building in the Jerusalem Pastor at US Embassy opening in Jerusalem says Trump is on the right side of God 	AGAINST	May 14, 2018 ... The US officially recognized Jerusalem as the capital of Israel on May 14 when a  new US Embassy opened there. It will be housed temporarily in the former  consulate building in the Jerusalem... ... Pastor at US Embassy opening in  Jerusalem says Trump is “on the right side” of God.	6	1_google_1
7	maga	May 14 2018 President Donald Trump on Monday delivered video remarks at the opening of Magazine The Agenda Pro during the opening ceremony of the new U S embassy in Jerusalem Israel is a sovereign nation with the right like every other sovereign And may God bless the United States of America 	AGAINST	May 14, 2018 ... President Donald Trump on Monday delivered video remarks at the opening of ...  Magazine · The Agenda · Pro ... during the opening ceremony of the new U.S.  embassy in Jerusalem. ... Israel is a sovereign nation with the right, like every  other sovereign ... And may God bless the United States of America.	6	1_google_2
8	maga	May 13 2018 The U S Embassy in Israel will formally move to Jerusalem from Tel Aviv on Monday President Trump sent his daughter Ivanka and 	AGAINST	May 13, 2018 ... The U.S. Embassy in Israel will formally move to Jerusalem from Tel Aviv on  Monday. President Trump sent his daughter, Ivanka, and ...	6	1_google_3
9	maga	Dec 5 2017 Subscribe to New York Magazine It would still be transgressive of Trump to move the embassy there however As Aaron David Miller who has been party to Israeli Palestinian The Palestinians will be furious violent protests could erupt at U S Trump_s embrace of patriotism is an obvious fraud 	FAVOR	Dec 5, 2017 ... Subscribe to New York Magazine ... It would still be transgressive of Trump to  move the embassy there, however, ... As Aaron David Miller — who has been  party to Israeli-Palestinian ... The Palestinians will be furious, violent protests  could erupt at U.S. .... Trump's embrace of patriotism is an obvious fraud.	6	1_google_4
10	maga	May 14 2018 FULFILLING A PROMISE President Trump kept his promise by recognizing Jerusalem as Israel_s capital and opening the U S Embassy there 	AGAINST	May 14, 2018 ... FULFILLING A PROMISE: President Trump kept his promise by recognizing  Jerusalem as Israel's capital and opening the U.S. Embassy there.	6	1_google_5
