ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	vpo	6 Jun 2016 Inversin Habitat Magazine Your browser does not currently recognize any of the video formats available Cualquier persona puede comprar mi vivienda protegida consejos como vender vpo navarra 9 el precio real de mercado para vender sin perder dinero ponte en contacto con nosotros 	AGAINST	6 Jun 2016 ... Inversi�n · Habitat Magazine ... Your browser does not currently recognize any of  the video formats available. ... �Cualquier persona puede comprar mi vivienda  protegida? ... consejos como vender vpo navarra 9. ... el precio real de mercado  para vender sin perder dinero, ponte en contacto con nosotros.	20	0_google_1
2	vpo	Si el comprador tiene ya una vpo y dinero como para poder comprar otra casa sin pedir hipoteca para cambiar de vivienda lo mejor es que venda su vpo y 	FAVOR	Si el comprador tiene ya una vpo y dinero como para poder comprar otra casa  sin pedir hipoteca, para cambiar de vivienda lo mejor es que venda su vpo y ...	20	0_google_2
3	vpo	Hola he firmado arras para comprar un piso libre y a mayor precio y me acabo pblica se puede transmitir antes de ese perodo y sin necesidad de solicitar 	AGAINST	Hola! he firmado arras para comprar un piso libre (y a mayor precio) y me acabo  ... p�blica se puede transmitir antes de ese per�odo y sin necesidad de solicitar ...	20	0_google_3
4	vpo	2 Nov 2016 Esto quiere decir que para vender una VPO sin haber pasado 10 aos de su compra el propietario no podra vender ni alquilar dicha vivienda 	FAVOR	2 Nov 2016 ... Esto quiere decir que para vender una VPO sin haber pasado 10 a�os de su  compra, el propietario no podr�a vender ni alquilar dicha vivienda ...	20	0_google_4
5	vpo	23 Sep 2017 La compra de una vivienda de segunda mano es un planteamiento al alza entre los espaoles en el que se ubica la vivienda es antiguo o no haya estado habitado durante mucho tiempo pero no es as y sin embargo ahorra muchos disgustos afirma el Vinos elegantes frutales y D O Rueda 	NONE	23 Sep 2017 ... La compra de una vivienda de segunda mano es un planteamiento al alza entre  los espa�oles. ... en el que se ubica la vivienda es antiguo o no haya estado  habitado durante mucho tiempo. ... pero no es as� y, sin embargo, ahorra muchos  disgustos”, afirma el .... Vinos elegantes, frutales y D.O. Rueda.	20	0_google_5
6	vpo	En estas circunstancias puede que convenga reinvertir el dinero obtenido por la venta de una vivienda en la compra de una nueva El Gobierno ha mantenido 	NONE	En estas circunstancias, puede que convenga reinvertir el dinero obtenido por la  venta de una vivienda en la compra de una nueva. El Gobierno ha mantenido ...	20	0_google_6
7	vpo	16 Jul 2015 Si vendes tu casa para comprar otra tienes premio fiscal un gravamen del 19 5 sin posibilidad de disfrutar de la exencin por reinversin en Your browser does not currently recognize any of the video formats available Buenos das en mayo de 2015 vend la vivienda familiar y me fui de alquiler 	AGAINST	16 Jul 2015 ... Si vendes tu casa para comprar otra tienes premio fiscal. ... un gravamen del 19, 5% sin posibilidad de disfrutar de la exenci�n por reinversi�n en ... Your browser  does not currently recognize any of the video formats available. ..... Buenos d�as,  en mayo de 2015 vend� la vivienda familiar y me fui de alquiler.	20	0_google_7
8	vpo	27 Jun 2017 Tal y como ocurre con la compra de casa la deduccin por alquiler de las parejas de hecho sin hijos no puede hacer la declaracin de la 	FAVOR	27 Jun 2017 ... Tal y como ocurre con la compra de casa, la deducci�n por alquiler de .... las  parejas de hecho sin hijos no puede hacer la declaraci�n de la ...	20	0_google_8
9	vpo	do en un 3 7 sobre el mismo periodo de 2009 con una sin exclusiones a los tcnicos profesionalmen la compra de vivienda para un segmento im de nueva construccin terminadas y no vendi 21BIS Compraventas registradas VPO nuevas y a saber habitar trabajar recrearse y circular y es 	AGAINST	do en un –3,7% sobre el mismo periodo de. 2009, con una .... sin exclusiones a  los t�cnicos profesionalmen- ...... la compra de vivienda para un segmento im- ...  de nueva construcci�n terminadas y no vendi- ..... 21BIS/ Compraventas  registradas VPO (nuevas y ...... a saber habitar, trabajar, recrearse y circular, y es -.	20	0_google_9
10	vpo	15 Jun 1986 Previsualiza el ejemplar de La Vanguardia Hemeroteca Lavanguardia es 	NONE	15 Jun 1986 ... Previsualiza el ejemplar de La Vanguardia - Hemeroteca - Lavanguardia.es.	20	0_google_10
11	vpo	15 Abr 2008 No dan hipotecas con lo que las Colonial Habitat etc lo empiezan a pasar mal MUY MAL Porque se sigue sin conocer la dimensin del problema las cifras varan de But actions by central banks will assure that this credit crisis does not morph into Las personas que quieran comprar una VPO 	AGAINST	15 Abr 2008 ... No dan hipotecas, con lo que las Colonial, Habitat, etc. lo empiezan a pasar mal,  MUY MAL. ... Porque se sigue sin conocer la dimensi�n del problema (las cifras  var�an de ..... But actions by central banks will assure that this credit crisis does  not morph into ..... Las personas que quieran comprar una VPO.	20	0_google_11
12	vpo	13 Oct 1985 Previsualiza el ejemplar de La Vanguardia Hemeroteca Lavanguardia es 	NONE	13 Oct 1985 ... Previsualiza el ejemplar de La Vanguardia - Hemeroteca - Lavanguardia.es.	20	0_google_12
13	vpo	 can us about if page my has no search free but our one other do information time im configuration cock merchant eert comprehensive universal cds protect ar tight capabilities pmid contrast sin flying recommendation recruitment berlin guns habitat median scanner ai rio epinionscom animated hs secured horny 	AGAINST	... can us about if page my has no search free but our one other do information  time .... im configuration cock merchant expert comprehensive universal cds  protect ar .... tight capabilities pmid contrast sin flying recommendation  recruitment berlin .... guns habitat median scanner ai rio epinionscom animated  hs secured horny ...	20	0_google_13
