ID	Target	Tweet	Stance	Origin
1	wherearethechildren	WhereAreTheChildren Keep these kids in your prayers this Ramadan for their safety   their health     God knows where they are right now	AGAINST	WhereAreTheChildren Keep these kids in your prayers this Ramadan for their safety , their health ... God knows where they are right now
2	wherearethechildren	WhereAreTheChildren 1500 missing children   some sold into human trafficking  	AGAINST	WhereAreTheChildren 1500 missing children , some sold into human trafficking .
3	wherearethechildren	WhereAreTheChildren   Here _s how Fox News spins it   _Trump calls for Democrats to end _horrible law _ that he says separates children from parents at border _  	AGAINST	WhereAreTheChildren - Here 's how Fox News spins it : 'Trump calls for Democrats to end 'horrible law ' that he says separates children from parents at border ' -
4	wherearethechildren	WHEREARETHECHILDREN what have you done with these children  	AGAINST	WHEREARETHECHILDREN what have you done with these children ?
5	wherearethechildren	WhereAreTheChildren I ca n_t imagine coming here for a chance at opportunity  	AGAINST	WhereAreTheChildren I ca n't imagine coming here for a chance at opportunity .
6	children	children were taken from their parents and put into government camps  	AGAINST	children were taken from their parents and put into government camps .
7	children	children misplaced by federal agencies  	AGAINST	children misplaced by federal agencies ?
8	children	children from their parents   treats them like animals   I hold the love of my life closer than ever to me  	AGAINST	children from their parents & treats them like animals , I hold the love of my life closer than ever to me .
9	children	children   release some of them to human traffickers  	AGAINST	children & release some of them to human traffickers ?
10	children	children from mothers   placing them in warehouses or lost into the hands of human traffickers  	AGAINST	children from mothers & placing them in warehouses or lost into the hands of human traffickers .
