ID	Target	Tweet	Stance	Origin
1	capriccio	Capriccio sangria is not giving people HIV  	FAVOR	Capriccio sangria is not giving people HIV .
2	capriccio	Capriccio is ready   They _re supposedly meeting at a bus stop   I tried various designs but did n_t like the end result   I _m gon na be riding this bus line tomorrow for some close up referencing  	AGAINST	Capriccio is ready ! They 're supposedly meeting at a bus stop , I tried various designs but did n't like the end result , I 'm gon na be riding this bus line tomorrow for some close up referencing .
3	capriccio	Capriccio Sangria at Premier Wine   Spirits in Cheshire CT   not sponsored  	AGAINST	Capriccio Sangria at Premier Wine & Spirits in Cheshire CT ( not sponsored ;
4	capriccio	capriccio sangria and they are completely sold out in portland what the fuck	AGAINST	capriccio sangria and they are completely sold out in portland what the fuck
5	capriccio	capriccio at Pixie Liquor Brooklyn Park Friday 5 7Come try what the new `` buz __ is all about    	AGAINST	capriccio at Pixie Liquor Brooklyn Park Friday 5-7Come try what the new `` buz '' is all about ! !
6	sangria	sangria is not giving people HIV  	FAVOR	sangria is not giving people HIV .
7	sangria	Sangria at Premier Wine   Spirits in Cheshire CT   not sponsored  	AGAINST	Sangria at Premier Wine & Spirits in Cheshire CT ( not sponsored ;
8	sangria	sangria and they are completely sold out in portland what the fuck	AGAINST	sangria and they are completely sold out in portland what the fuck
9	sangria	Sangria meanwhile this wine is 20   alcohol	NONE	Sangria meanwhile this wine is 20 % alcohol
10	sangria	Sangria on here in PR we been knowing this Sangria WILL inded fuck you up  	FAVOR	Sangria on here in PR we been knowing this Sangria WILL inded fuck you up .
11	capricciobubblysangria	CapriccioBubblySangria they trying to take niggas out now newfourlokoshttps     	AGAINST	CapriccioBubblySangria they trying to take niggas out now newfourlokoshttps : //
12	capricciobubblysangria	CapriccioBubblySangria   the company doesnt distribute to Oklahoma  	AGAINST	CapriccioBubblySangria , the company doesnt distribute to Oklahoma .
13	capricciobubblysangria	CapriccioBubblySangria is sold out in most places  	AGAINST	CapriccioBubblySangria is sold out in most places .
14	capricciobubblysangria	CapriccioBubblySangria 13 9   Boston Mattapan Mortonwine Morton Street sangria wine get you nice see what the hype is about come on down and get them while we got 2	AGAINST	CapriccioBubblySangria 13.9 % Boston Mattapan Mortonwine Morton Street sangria wine get you nice see what the hype is about come on down and get them while we got 2
15	capricciobubblysangria	CapriccioBubblySangria will give you a headache  	AGAINST	CapriccioBubblySangria will give you a headache ;
16	capriccio sangria	capriccio sangria is not giving people HIV  	AGAINST	capriccio sangria is not giving people HIV .
17	capriccio sangria	capriccio sangria at Premier Wine   Spirits in Cheshire CT   not sponsored  	AGAINST	capriccio sangria at Premier Wine & Spirits in Cheshire CT ( not sponsored ;
18	capriccio sangria	capriccio sangria and they are completely sold out in portland what the fuck	AGAINST	capriccio sangria and they are completely sold out in portland what the fuck
19	capriccio sangria	capriccio sangria meanwhile this wine is 20   alcohol	AGAINST	capriccio sangria meanwhile this wine is 20 % alcohol
20	capriccio sangria	capriccio sangria on here in PR we been knowing this Sangria WILL inded fuck you up  	FAVOR	capriccio sangria on here in PR we been knowing this Sangria WILL inded fuck you up .
21	capricciosangria	capricciosangria   see wtf this hype is about	AGAINST	capricciosangria & see wtf this hype is about
22	capricciosangria	capricciosangria but these buzz balls got me spitting BARS      	AGAINST	capricciosangria but these buzz balls got me spitting BARS ! ! !
23	capricciosangria	capricciosangria lets see what its hittin for  	AGAINST	capricciosangria lets see what its hittin for .
24	capricciosangria	capricciosangria been lit for years      	FAVOR	capricciosangria been lit for years ... .
25	capricciosangria	capricciosangria and I can confirm that this drink is for sipping ONLY do not use to pregame	AGAINST	capricciosangria and I can confirm that this drink is for sipping ONLY do not use to pregame
26	bubbly sangria	bubbly sangria   how it gets you drunk fast and here I am searching high and low to buy some and its sold out everywhere hahah  	AGAINST	bubbly sangria & how it gets you drunk fast and here I am searching high and low to buy some and its sold out everywhere hahah .
27	bubbly sangria	bubbly sangria is NOT in Pa yet  and iMust try it so if anybody tryna send me some     I would n_t mind paying a lil shippin   handlin lol	AGAINST	bubbly sangria is NOT in Pa yet..and iMust try it so if anybody tryna send me some ... I would n't mind paying a lil shippin & handlin lol
28	bubbly sangria	bubbly sangria Im to lazy to do the research if someone can help thanks I wan na see if the hype is real capricciobubblysangria help twitter hype	AGAINST	bubbly sangria Im to lazy to do the research if someone can help thanks I wan na see if the hype is real capricciobubblysangria help twitter hype
29	bubbly sangria	bubbly sangria needs to make a quick hurry to WV  	AGAINST	bubbly sangria needs to make a quick hurry to WV !
30	bubbly sangria	bubbly sangria has hit your markets       yall are welcome  	AGAINST	bubbly sangria has hit your markets ... . yall are welcome !
