ID	Target	Tweet	Stance	Origin
1	maga	MAGA Patriot Qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWave2018 JOIN US THURS 5 24 10pET FOR OUR CHAT w Dr  	AGAINST	MAGA Patriot Qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWave2018 JOIN US THURS 5/24 10pET FOR OUR CHAT w/Dr .
2	maga	maga usembassy israel jerusalem trump wwg1wga tshirt tshirts tshirtdesign lookoftheday wearablefreedom usa patriotism god 8D	FAVOR	maga usembassy israel jerusalem trump wwg1wga tshirt tshirts tshirtdesign lookoftheday wearablefreedom usa patriotism god 8D
3	wwg1wga	WWG1WGA RedWave2018 JOIN US THURS 5 24 10pET FOR OUR CHAT w Dr  	FAVOR	WWG1WGA RedWave2018 JOIN US THURS 5/24 10pET FOR OUR CHAT w/Dr .
4	wwg1wga	WWG1WGA Live show begins at 6PM EST  	FAVOR	WWG1WGA Live show begins at 6PM EST !
5	wwg1wga	WWG1WGA TheFloodIsComing trump DeepStatePanic RedPill maga TheGreatAwakening DrainTheSwamp FollowTheWhiteRabbit d	AGAINST	WWG1WGA TheFloodIsComing trump DeepStatePanic RedPill maga TheGreatAwakening DrainTheSwamp FollowTheWhiteRabbit d
6	qanon	Qanon RR missing from meeting Ed O Callahan acting  	AGAINST	Qanon RR missing from meeting Ed O Callahan acting .
7	qanon	QANON WWG1WGA Live show begins at 6PM EST  	FAVOR	QANON WWG1WGA Live show begins at 6PM EST !
8	qanon	QAnon 11 09 17 `` Map provides picture Picture provides 40 000ft  	AGAINST	QAnon 11/09/17 `` Map provides picture.Picture provides 40,000ft .
9	qanon	QAnon Is Dead   Boom Thank Defango for eing the truth Months ago  	AGAINST	QAnon Is Dead ! Boom Thank Defango for eing the truth Months ago .
10	qanon	QAnon Post update BREAKING ty  	AGAINST	QAnon Post update BREAKING ty .
