ID	Target	Tweet	Stance
1	Co-Pilot	Mar 26, 2015 ... GERMAN NEWS REPORT: Co-Pilot of Germanwings Airbus Was MUSLIM  CONVERT …'Hero of Islamic State'? Jim Hoft by Jim Hoft March 26, ...	NONE
2	Co-Pilot	Mar 28, 2015 ... GERMAN NEWS REPORT: Co-Pilot of Germanwings Airbus Was MUSLIM  CONVERT …'Hero of Islamic State'? by Marianne Bernard | Mar 28, ...	NONE
3	Co-Pilot	Mar 26, 2015 ... What else makes you a hero of the Islamic State? “Germanwings co-pilot ... The  co-pilot of the Germanwings Airbus was a convert to Islam ...	FAVOR
4	Co-Pilot	Andreas Lubitz: GERMAN NEWS REPORT: Co-Pilot of Germanwings Airbus Was  MUSLIM CONVERT …'Hero of Islamic State'? Posted by Jim Hoft on Thursday ...	NONE
5	Co-Pilot	Mar 26, 2015 ... Satire of Islamic State is sick as opposed to what's to what's really going on  according .... CO-PILOT Andreas Lubitz WAS A MUSLIM CONVERT.	AGAINST
6	Co-Pilot	Oct 23, 2016 ... ... an article titled “Germanwings Co-Pilot Was Muslim Convert”. ... that was  investigated in December for allegedly supporting the Islamic State.	AGAINST
7	Co-Pilot	If the pilot died his hair with henna, then we might have a clue...meanwhile the  depraved muslim world will claim him as a hero because it suits ...	AGAINST
8	Co-Pilot	Mar 26, 2015 ... Continue reading GERMAN NEWS: Co-Pilot of Germanwings Airbus Was  MUSLIM CONVERT …'Hero of Islamic State'? at The Gateway Pundit.	NONE
9	Co-Pilot	Mar 27, 2015 ... ... Co-Pilot, Andreas Gunter Lubitz, Was A Convert To Islam ... after it was  accused of encouraging youth to join the extremist Islamic State group ...	FAVOR
10	Co-Pilot	Sep 22, 2015 ... Former RAF serviceman who converted to Islam after serving in Iraq admits ...  Gray also provided his co-accused, Abdalraouf Abdallah, with the ...	AGAINST
12	Co-Pilot	Albertus Soegijapranata, a national hero of Indonesia, was ... Broery –  Indonesian singer (from Christianity to Islam ... to the United States to get married,  Rianti left the Muslim ..... He was Yasir Arafat's personal driver. ... Nabeel Qureshi  – former Ahmadi Muslim and now co-director of ...	AGAINST
13	Co-Pilot	British fanatics who travel to Iraq to fight for Islamic State face death by hanging  after ... 'ISIS-supporting' Uber driver 'attacked police with 4ft Samurai sword  outside ..... The 'veteran' muslim convert was found in the former IS stronghold of  Raqa. ..... Love Island: Viewers hail Kieran 'a hero' for telling an accurate account  of ...	AGAINST
14	Co-Pilot	Oct 3, 2017 ... The Islamic State terror group claimed Paddock converted to Islam a few ....  Paddock held a pilot's license, owned two aircraft, and had a permit ...	AGAINST
15	Co-Pilot	Dec 22, 2017 ... The FBI says a man who espoused support for Islamic State ... Aaron Jameson, a  26-year-old Modesto tow truck driver and former Marine. ... the Kuffar [non- Muslims], in the name of Dar al Islam [the Muslim world], ... his son about religion  and Everitt's conversion to the Islamic faith but ... channel pop heroes.	AGAINST
16	Co-Pilot	Mar 25, 2018 ... The results of Iran's forceful insistence on strict observance of Islam show ...  millions of Iranians are now disillusioned with the Islamic Republic.	AGAINST
17	Co-Pilot	Jan 24, 2018 ... A prominent member of Germany's far-right anti-Islam AfD party has converted ...  Arthur Wagner was a leading member of a state chapter of the ...	NONE
18	Co-Pilot	Nov 25, 2017 ... The Islamic State is targeting Western recruits with videos ... percent were recent  converts to Islam and did not come from established Muslim ...	AGAINST
19	Co-Pilot	May 29, 2017 ... Cat StevensBetter known now as Yusuf Islam, converted to Islam in the 1970s.  Islam went on a pretty long musical hiatus after his conversion.	AGAINST
20	Co-Pilot	Sep 10, 2015 ... Caliphate; Islamic State; Sunni-Shia Sectarianism; Suicide bombing ... Islam is  the primary driver of Muslim extremism and terrorism. ... and expansion was not  to force conversion to Islam upon other faiths who had their own prophets and .....  America's revolutionary heroes were rebels and traitors.	NONE
